window	context	chr	Average_Methylation	CI_low	CI_high	sex	Allele
57	CHH	X	0.0503785031472328	0.049203348688324	0.051573503305495	Female	XX in female
58	CHH	X	0.0451287456708327	0.0440185329948969	0.0462588710631849	Female	XX in female
59	CHH	X	0.0446137523832954	0.0434981036672232	0.0457497589734973	Female	XX in female
60	CHH	X	0.0511338948812745	0.0499480517860709	0.052339628138502	Female	XX in female
1	CG	X	0.827868852459016	0.816837281529977	0.838496499947657	Male	X in male
2	CG	X	0.834763476347635	0.823641861339108	0.845453133321384	Male	X in male
3	CG	X	0.835506134969325	0.825162462014566	0.845472890446714	Male	X in male
4	CG	X	0.821758404137422	0.811299001650166	0.831869761713778	Male	X in male
7	CG	X	0.724976258309592	0.712697461773219	0.73700519896311	Male	X in male
8	CG	X	0.692596991290578	0.679665775997271	0.705305322707271	Male	X in male
9	CG	X	0.802536550995244	0.791938768335088	0.812822462260975	Male	X in male
10	CG	X	0.785699735180281	0.773951004539315	0.797107725226549	Male	X in male
11	CG	X	0.779044278825077	0.76671867787314	0.791011663719343	Male	X in male
12	CG	X	0.800427807486631	0.788677825854592	0.811801328564589	Male	X in male
13	CG	X	0.832170978627672	0.820854835687423	0.843048840905008	Male	X in male
14	CG	X	0.858698170025481	0.847948889165869	0.868959568886022	Male	X in male
16	CG	X	0.813270142180095	0.801178770974416	0.824926231381311	Male	X in male
17	CG	X	0.828956877860757	0.817151134946966	0.840297683762283	Male	X in male
19	CG	X	0.805484545665814	0.793335795798171	0.817217152099529	Male	X in male
20	CG	X	0.398170617883144	0.38502707695916	0.41142519854448	Male	X in male
21	CG	X	0.0801658604008293	0.0752819684500045	0.0852620862719246	Male	X in male
22	CG	X	0.214046822742475	0.206813969223198	0.221415688978353	Male	X in male
23	CG	X	0.378761425490397	0.369112626210401	0.388482798334714	Male	X in male
24	CG	X	0.569935962251432	0.55957319458464	0.580252926947338	Male	X in male
25	CG	X	0.621726600676607	0.610981532876803	0.632382708521043	Male	X in male
26	CG	X	0.714547747334633	0.704942276138235	0.724009728494116	Male	X in male
27	CG	X	0.724485836243694	0.714378752526232	0.734423423354819	Male	X in male
28	CG	X	0.766564978645516	0.757251451538547	0.775688589762614	Male	X in male
29	CG	X	0.822063113232564	0.813241294598855	0.83063528149396	Male	X in male
30	CG	X	0.825997081712062	0.817627611873356	0.834134882573932	Male	X in male
31	CG	X	0.846926279696302	0.838932059279373	0.854672071094064	Male	X in male
33	CG	X	0.819713870029098	0.811244450895732	0.82795677976112	Male	X in male
34	CG	X	0.809820010587613	0.800786295242788	0.818614073980845	Male	X in male
35	CG	X	0.806978470675576	0.798202099795222	0.815532922436134	Male	X in male
36	CG	X	0.790940288263555	0.781418408250178	0.800228789022177	Male	X in male
37	CG	X	0.761831558142089	0.75294524135284	0.770550093986571	Male	X in male
38	CG	X	0.754630136986301	0.745665940468074	0.763431503809192	Male	X in male
39	CG	X	0.716379711493718	0.706720465388486	0.725892093809504	Male	X in male
40	CG	X	0.498150289017341	0.48755784286557	0.508743981781467	Male	X in male
41	CG	X	0.546803878883831	0.532955568254829	0.560598076344477	Male	X in male
42	CG	X	0.625120400693508	0.611787751772534	0.638312214732589	Male	X in male
43	CG	X	0.549627791563276	0.537386259666245	0.561824404467117	Male	X in male
44	CG	X	0.61284046692607	0.598628053771317	0.626910287767932	Male	X in male
45	CG	X	0.677874636778746	0.66447127512901	0.691062133207529	Male	X in male
46	CG	X	0.667639091477391	0.654108484405559	0.680965462391011	Male	X in male
47	CG	X	0.662325038880249	0.649214952067692	0.675250694778529	Male	X in male
48	CG	X	0.637778215481584	0.62438243423701	0.651015405156607	Male	X in male
51	CG	X	0.683788121990369	0.670673451244889	0.696687204010882	Male	X in male
52	CG	X	0.763817015110743	0.751579132895964	0.775735272876631	Male	X in male
53	CG	X	0.745034642032333	0.731774859628705	0.757963108764536	Male	X in male
55	CG	X	0.752447850149	0.73984547059426	0.764735730711427	Male	X in male
56	CG	X	0.691601049868766	0.679011099334715	0.703981047363333	Male	X in male
57	CG	X	0.680046765393609	0.66708766337909	0.692800792978937	Male	X in male
58	CG	X	0.699365144378456	0.686285246579936	0.712206286166959	Male	X in male
59	CG	X	0.688367546432063	0.675472163486746	0.701047645832165	Male	X in male
60	CG	X	0.750099482690012	0.737887253974658	0.762020583924595	Male	X in male
5	CG	X	0.812256139545559	0.800338161063942	0.823753981128009	Male	X in male
